headlines,sentiments,page,president
Greece fails to reach bailout deal with Europe,Afraid, Page: 178,Aquino III
European stocks retreat before Greece meeting,People are divided, Page: 178,Aquino III
PH exports hit 9% growth in 2014,Happy, Page: 179,Aquino III
"G20 ministers gather in Istanbul to discuss Greece, growth",Annoyed, Page: 179,Aquino III
Bangladesh business community protests $10B losses,Inspired, Page: 179,Aquino III
State of PH education hinders bid for inclusive growth,Sad, Page: 179,Aquino III
APEC plots plan to bankrupt terror networks,Happy, Page: 179,Aquino III
APEC senior officials to build on priorities set in China,Inspired, Page: 179,Aquino III
Inflation down to 2.4% in January,Happy, Page: 179,Aquino III
PH deserves a Fitch upgrade – DTI chief,Happy, Page: 179,Aquino III
Gov't sets 3% inflation target for 2015,Happy, Page: 179,Aquino III
Greek austerity relief gets high-profile supporters,Amused, Page: 179,Aquino III
Greek finance chief: Support new deal to end debt 'addiction',Amused, Page: 180,Aquino III
Philippines to boost services sector in APEC meetings,Inspired, Page: 180,Aquino III
Greece offers olive branch as search for allies begins,Amused, Page: 180,Aquino III
US economic growth in 2014 fastest since 2010,Happy, Page: 180,Aquino III
Reforms to buoy PH growth in the long term,Inspired, Page: 180,Aquino III
"Greek government reverses austerity policies, stocks hit",Afraid, Page: 180,Aquino III
Missed target: PH economic growth shrinks to 6.1% in 2014,Happy, Page: 180,Aquino III
"Australian business, trade to increase presence in PH",Inspired, Page: 180,Aquino III
EU investment plan could create 2.1 million jobs – UN,Happy, Page: 180,Aquino III
PH climbs to 76th spot among world’s freest economies,Happy, Page: 180,Aquino III
Imports decline to 10.8% in November 2014,Inspired, Page: 181,Aquino III
PH's key cities 2nd most densely populated in East Asia,Sad, Page: 181,Aquino III
Inflation within target for 6th consecutive year – BSP,Happy, Page: 181,Aquino III
World Economic Forum: Davos elite gather in shadow of attacks,Amused, Page: 181,Aquino III
IMF slashes 2015-2016 world growth forecast,Inspired, Page: 181,Aquino III
China's economic growth slows to 24-year low – gov't,Happy, Page: 181,Aquino III
"France attacks, Iraq conflict to dominate Davos meet",Sad, Page: 181,Aquino III
"3,740 security force deployed to secure APEC in Clark",Happy, Page: 181,Aquino III
World Bank cuts PH 2014 growth forecast to 6%,Sad, Page: 181,Aquino III
Leyte businesses see papal visit as golden opportunity,Amused, Page: 181,Aquino III
EU doubles PH aid to 325M euros,Happy, Page: 182,Aquino III
Weighing the costs for Europe if Greece exits the euro,Afraid, Page: 182,Aquino III
Business losses: Papal visit's unintended consequences,Angry, Page: 182,Aquino III
NCR slips 4 notches in Asia Pacific investment ranking – survey,Sad, Page: 182,Aquino III
PH exports growth outperforms China anew,Happy, Page: 182,Aquino III
The 'top 5' wishes of PH business for 2015,Happy, Page: 182,Aquino III
Brent oil below $50 for first time since 2009,Happy, Page: 182,Aquino III
Vietnam devalues dong to boost growth,Amused, Page: 182,Aquino III
PH 82nd in Forbes' best countries for business,Inspired, Page: 182,Aquino III
Gov’t hits inflation target for 2014,Happy, Page: 182,Aquino III
Filipinos 'thriftier' in 2014 amid consumer woes,Inspired, Page: 183,Aquino III
Singapore economy grows slower than expected as labor rules bite,Don't Care, Page: 183,Aquino III
Vietnam's 2014 GDP highest in 3 years,Happy, Page: 183,Aquino III
"Venezuela enters recession, inflation tops 63%",Sad, Page: 183,Aquino III
Gov’t posts P6.8-billion fiscal surplus in November,Sad, Page: 183,Aquino III
Japan approves $29B stimulus package,Happy, Page: 183,Aquino III
Dollar gains on euro after strong US data,Happy, Page: 183,Aquino III
Zero-tariff exports to EU a Christmas gift for PH traders,Happy, Page: 183,Aquino III
EU grants PH zero tariff on strategic exports,Happy, Page: 183,Aquino III
NEDA chief: PH economy to expand faster in Q4,Happy, Page: 183,Aquino III
ADB cuts 2014 PH growth forecast to 6%,Sad, Page: 184,Aquino III
Aquino: PH to get $500M soft loan from South Korea,Happy, Page: 184,Aquino III
EU to decide Dec 18 on PH bid for zero duty export,Happy, Page: 184,Aquino III
PH improves in 7 of 12 global report cards,Happy, Page: 184,Aquino III
PH gets another boost from Moody’s,Happy, Page: 184,Aquino III
BSP maintains key policy rates,Happy, Page: 184,Aquino III
APEC 2015 to discuss enablement for region’s cottage industries,Happy, Page: 184,Aquino III
'Hospitality will make APEC PH stand out',Happy, Page: 184,Aquino III
PH export growth slowest in Oct at 2.9%,Sad, Page: 184,Aquino III
APEC PH agenda fully supported by other countries,Happy, Page: 184,Aquino III
France unveils controversial plan to unblock economy,Amused, Page: 185,Aquino III
PH export growth seen to exceed 2014 target – DTI,Happy, Page: 185,Aquino III
APEC on disasters: Redundancy crucial to protect supply chains,Happy, Page: 185,Aquino III
"Make SMEs mainstream, capture global markets – NEDA chief",Happy, Page: 185,Aquino III
Japan economy contracted more than thought in July-Sept,Sad, Page: 185,Aquino III
Inflation lowest at 3.7% in November,Happy, Page: 185,Aquino III
Aquino orders DTI to avert price spikes in #RubyPH areas,Annoyed, Page: 185,Aquino III
Gov’t deficit falls 86% for Jan-Oct,Happy, Page: 185,Aquino III
"Aquino: APEC visitors to experience 'inclusive, growing' PH",Happy, Page: 185,Aquino III
DTI: Public spending to put PH back on ‘high growth path’,Happy, Page: 185,Aquino III
Gov’t debt payments drop 28.3% in September,Happy, Page: 186,Aquino III
Gov’t borrowings down 41.4% in September,Happy, Page: 186,Aquino III
SMEs to take center stage in APEC 2015,Happy, Page: 186,Aquino III
Economists lower expectations for 2014 Philippine economic growth,Happy, Page: 186,Aquino III
PH delegation attends biggest Halal exhibition in UAE,Inspired, Page: 186,Aquino III
PH social enterprise covers 2.5M poor Filipinos - study,Inspired, Page: 186,Aquino III
Philippine economy slows down to 5.3% in Q3,Sad, Page: 186,Aquino III
Juncker unveils giant 315B euro plan to 'kickstart' Europe,Amused, Page: 186,Aquino III
PH import growth contracts to 2.6% in Sept,Happy, Page: 186,Aquino III
Singapore economy to grow 3.0% in 2014 – gov't,Amused, Page: 186,Aquino III
Aquino approves 2014 Investment Priorities Plan,Happy, Page: 187,Aquino III
Businesses more optimistic as 2014 closes – BSP survey,Happy, Page: 187,Aquino III
Aquino: Investors' interest in PH up tenfold,Happy, Page: 187,Aquino III
Japan economy enters recession after surprise Q3 contraction,Sad, Page: 187,Aquino III
'Megaworld's lot donation for ICC to jumpstart investment',Happy, Page: 187,Aquino III
Reducing poverty top priority until 2016 – NEDA chief,Inspired, Page: 187,Aquino III
"PH export growth outperforms China, jumps 15.7% in Sept",Happy, Page: 187,Aquino III
APEC delegates praise Aquino's 'economic stewardship',Happy, Page: 187,Aquino III
Health concerns rising among Filipino consumers – survey,Inspired, Page: 187,Aquino III
India's Modi set to expand cabinet to speed up economic reforms,Amused, Page: 187,Aquino III
"Japan's Abe heads to Beijing, eyeing first summit with Xi",Amused, Page: 188,Aquino III
Inflation down anew to 4.3% in October,Happy, Page: 188,Aquino III
Government keeps deficit at P31B for Jan-Sept,Happy, Page: 188,Aquino III
New methodology in WB 'Doing Business' report draws flak,Amused, Page: 188,Aquino III
Philippines is 95th ‘best place’ to do business – WB report,Sad, Page: 188,Aquino III
Business groups urge Aquino to act on 8-point economic reform,Happy, Page: 188,Aquino III
Imports down by 1.3% in August,Happy, Page: 188,Aquino III
PH sees EU approval of zero duty export,Happy, Page: 188,Aquino III
China economic growth falls to 5-year low of 7.3% – govt,Happy, Page: 188,Aquino III
Gov’t adjusts borrowing mix for 2014,Happy, Page: 188,Aquino III
Gov’t debt payment fall 38% in August,Inspired, Page: 189,Aquino III
"Shortage of noche buena favorites likely, importers warn",Don't Care, Page: 189,Aquino III
Gov’t borrowings down 85% in August,Happy, Page: 189,Aquino III
China's economic rise challenges IMF,Afraid, Page: 189,Aquino III
WTO at a crossroads amid blocked trade deal,People are divided, Page: 189,Aquino III
IMF/World Bank: build infrastructure to fight malaise,Amused, Page: 189,Aquino III
G20 optimistic on global economy,Inspired, Page: 189,Aquino III
PH entrepreneurs upbeat on economy,Inspired, Page: 189,Aquino III
PH exports continue double-digit growth,Happy, Page: 189,Aquino III
DTI to retailers: Stick to SRPs for Noche Buena goods,Annoyed, Page: 189,Aquino III
Inflation down to 4.4% in September,Happy, Page: 190,Aquino III
Alternative ports not long-term solution to port congestion,Annoyed, Page: 190,Aquino III
World Bank: Strong domestic demand to drive growth,Happy, Page: 190,Aquino III
15 PH firms to franchise in ASEAN,Happy, Page: 190,Aquino III
Kenneth Cobonpue urges PH Customs to relax importation rules,Inspired, Page: 190,Aquino III
2014 economic growth target still achievable – NEDA,Happy, Page: 190,Aquino III
"NEDA chief: Tourism, manufacturing to provide more jobs",Happy, Page: 190,Aquino III
"Drilon: DOF, DTI delay fiscal incentives bill",Happy, Page: 190,Aquino III
Customs misses revenue target in August,Annoyed, Page: 190,Aquino III
Import growth flat in July,Angry, Page: 190,Aquino III
Philippines posts P30-B budget surplus in August,Happy, Page: 191,Aquino III
ADB: Specter of inequality to haunt strong PH economy,Angry, Page: 191,Aquino III
PH exports to grow 6.8% in 2014 – UN ESCAP,Happy, Page: 191,Aquino III
Debt-to-gov’t ratio hits 38.1% in end-March,Happy, Page: 191,Aquino III
Filipinos open to foreigners buying local firms – study,Amused, Page: 191,Aquino III
PH narrows foreign deficit in 2nd quarter,Happy, Page: 191,Aquino III
Aquino: Europe trip yields $2.3B in investments,Happy, Page: 191,Aquino III
DA: Luis and Mario damage to PH agriculture at P1.14B,Sad, Page: 191,Aquino III
PSE suspends trading over tropical storm Mario,Angry, Page: 191,Aquino III
Aquino to sell PH as investors' choice in US trip,Happy, Page: 191,Aquino III
Aquino to pitch $20-B infra projects to European investors,Happy, Page: 192,Aquino III
DOF OKs new tax stamps on cigarettes,Happy, Page: 192,Aquino III
BOC gets P393M from rice auction,Happy, Page: 192,Aquino III
IMF says Scotland 'yes' vote would create uncertainty,Afraid, Page: 192,Aquino III
BSP raises rates further as inflation threatens,Afraid, Page: 192,Aquino III
Aquino seeks Congress help to address power shortage,Inspired, Page: 192,Aquino III
Exports continue to grow by double digits in July,Happy, Page: 192,Aquino III
Philippine jobless rate falls to 6.7% in July,Happy, Page: 192,Aquino III
Moody's negative on Brazil in new blow to Rousseff,Afraid, Page: 192,Aquino III
Gov't imposes fees for unclaimed cargoes at Manila ports,Happy, Page: 192,Aquino III
Japan Q2 economy shrinks more than thought,Afraid, Page: 193,Aquino III
Japan's bid for economy driven by women faces big hurdles,People are divided, Page: 193,Aquino III
PH inflation at 4.9% in August,Sad, Page: 193,Aquino III
Palace cites ‘renewed optimism’ on PH business prospects,Happy, Page: 193,Aquino III
PH jumps 7 notches in WEF competitiveness rankings,Happy, Page: 193,Aquino III
"As woes mount, economic stats vanish in Venezuela",Angry, Page: 193,Aquino III
Customs misses July revenue goal,Angry, Page: 193,Aquino III
Businesses still optimistic in Q3 at 34.4%,Happy, Page: 193,Aquino III
Gov’t fiscal deficit narrows to P1.8-B in July,Happy, Page: 193,Aquino III
Forbes: Henry Sy still Philippines’ richest,Inspired, Page: 193,Aquino III
PH economy picks up steam in 2nd quarter,Happy, Page: 194,Aquino III
Port congestion blamed for import decline in June,Angry, Page: 194,Aquino III
‘PH growth to slow down after Aquino’s term’,Sad, Page: 194,Aquino III
Sin tax collection exceeds target in first half,Happy, Page: 194,Aquino III
DOF open to calls for lower income tax rates,Happy, Page: 194,Aquino III
Gov’t infra spending jumps 63% in June,Happy, Page: 194,Aquino III
DTI: Price hikes inevitable due to port congestion,People are divided, Page: 194,Aquino III
Fiscal incentives rationalization to add P30B in PH annual revenue,Happy, Page: 194,Aquino III
Gov’t: PH growth likely bounced back to 7% in Q2,Happy, Page: 194,Aquino III
Indonesia budget highlights fuel subsidy challenge,People are divided, Page: 194,Aquino III
ARMM economic growth picks up on ‘reforms’,Happy, Page: 195,Aquino III
'Inclusive growth must start with agriculture',Inspired, Page: 195,Aquino III
Japan's economy shrinks after sales tax hike,Sad, Page: 195,Aquino III
"PH exports jump 21% in June, highest in 6 months",Happy, Page: 195,Aquino III
"Makati, Daet 'most competitive' LGUs in 2014",Happy, Page: 195,Aquino III
World Bank downgrades PH growth forecasts,Sad, Page: 195,Aquino III
"BIR: Gov't workers' tax not new, based on 1997 law",Happy, Page: 195,Aquino III
Basic sectors need help in ASEAN integration - exec,Inspired, Page: 195,Aquino III
PH economy to grow 6.7% in 2014 – UN ESCAP,Happy, Page: 195,Aquino III
Gov't eyes debt-to-GDP ratio of below 45% by 2016,Happy, Page: 195,Aquino III
SC asked to void BIR memo taxing gov't employees' benefits,Happy, Page: 196,Aquino III
Indonesian growth slowest since 2009 in second quarter,Sad, Page: 196,Aquino III
Food woes push inflation to 3-year high in July,Afraid, Page: 196,Aquino III
WTO fails to agree on key trade deal,Afraid, Page: 196,Aquino III
Bicol top performing regional economy in 2013,Happy, Page: 196,Aquino III
Argentina defaults as 'vulture talks' fail,Sad, Page: 196,Aquino III
"With 2 years left in his term, Aquino has more to do, biz groups say",Happy, Page: 196,Aquino III
ADB private sector investments hit $4.75B in 2013,Happy, Page: 196,Aquino III
Argentina seeks last-minute solution as default looms,Afraid, Page: 196,Aquino III
Power emergency: What it means,Afraid, Page: 196,Aquino III
Philippine population to hit 142M by 2045,Annoyed, Page: 197,Aquino III
"With new default looming, Argentina urges calm",Afraid, Page: 197,Aquino III
Aquino: Philippines ‘more open for business’,Inspired, Page: 197,Aquino III
Gov’t records P62.5-B budget deficit in June,Annoyed, Page: 197,Aquino III
Fiscal incentives bill: Is it really priority?,Sad, Page: 197,Aquino III
Businessmen’s SONA 'wishes',Happy, Page: 197,Aquino III
Iglesia ni Cristo’s centennial project draws world’s attention to PH,Happy, Page: 197,Aquino III
PH businesses urged to invest in imported capital goods,People are divided, Page: 197,Aquino III
More than 2.2B people 'poor or near-poor' – UN report,Sad, Page: 197,Aquino III
"US judge urges Argentina, hedge funds to avoid default",Happy, Page: 197,Aquino III
Nielsen: Filipino consumers 3rd most confident in world,Inspired, Page: 198,Aquino III
Customs misses revenue target in June,Angry, Page: 198,Aquino III
"BIR misses June target, sets audit of big taxpayers",Sad, Page: 198,Aquino III
"ADB cuts Southeast Asia growth outlook, blames tensions",Angry, Page: 198,Aquino III
BRICS meet South American leaders after bank deal,Afraid, Page: 198,Aquino III
"US, EU stiffen sanctions against Russia over Ukraine",Happy, Page: 198,Aquino III
Price freeze up in areas under state of calamity,Happy, Page: 198,Aquino III
"BRICS create development bank, 'mini-IMF'",Amused, Page: 198,Aquino III
'ASEAN integration to prepare PH for Trans-Pacific Partnership',Inspired, Page: 198,Aquino III
Aquino fears economic ‘paralysis’ over DAP ruling,Angry, Page: 198,Aquino III
Isolated Russia has friends at multipolar-pushing BRICS,Angry, Page: 199,Aquino III
"ADB: Social protection spending in PH, neighbors inadequate",Angry, Page: 199,Aquino III
Singapore's economy unexpectedly contracts in Q2,Amused, Page: 199,Aquino III
Economic managers cite DAP ‘impact’ in 2013 memo to Aquino,Happy, Page: 199,Aquino III
PH exports up in May despite electronics decline,Happy, Page: 199,Aquino III
World Cup boosts TV sales in football-mad Southeast Asia,Amused, Page: 199,Aquino III
India's government spells out 'Modi-nomics' in first budget,Happy, Page: 199,Aquino III
Wal-Mart back on top of Fortune Global 500 list,Amused, Page: 199,Aquino III
Next Indonesian leader walks into economic storm,Inspired, Page: 199,Aquino III
Headline inflation drops to 4.4% in June,Happy, Page: 199,Aquino III
Asia shares climb after US jobs report,Inspired, Page: 200,Aquino III
PH signs joint declaration on cooperation with EFTA,Happy, Page: 200,Aquino III
"Oil market slides on profit taking, Iraq",Angry, Page: 200,Aquino III
"US dollar at 5-year low vs pound; rises vs yen, euro",Amused, Page: 200,Aquino III
Stalling global corporate spending to remain weak: S&P,People are divided, Page: 200,Aquino III
Oil prices down in Asian trade,Happy, Page: 200,Aquino III
'New compass' needed for global economy: BIS,Inspired, Page: 200,Aquino III
Gov't to borrow P135B in 3Q despite budget surplus,Annoyed, Page: 200,Aquino III
The highest paid gov’t official in 2013 is …,Angry, Page: 200,Aquino III
PLDT exec: ASEAN integration ‘double-edged’,Inspired, Page: 200,Aquino III
Gov’t wipes out deficit end-May,Happy, Page: 201,Aquino III
Soaring chicken prices only temporary,Annoyed, Page: 201,Aquino III
"Import growth slows down, but outlook rosy",Annoyed, Page: 201,Aquino III
Oil firms hike prices as tension in Iraq worsens,Sad, Page: 201,Aquino III
Provinces to DOF: We’re not living off national gov’t dole outs,Annoyed, Page: 201,Aquino III
"PH imports forecasts raised, exchange rate adjusted",Happy, Page: 201,Aquino III
Oil prices in PH to rise as tension in Iraq escalates,Afraid, Page: 201,Aquino III
BCDA lures Clark Green City locators with incentives,Happy, Page: 201,Aquino III
Customs collections off target in May,Afraid, Page: 201,Aquino III
BIR slams provinces living off gov’t allocation,Angry, Page: 201,Aquino III
"New Zealand to double exports, grow tourism traffic to PH",Happy, Page: 202,Aquino III
Filipinos most socially-conscious consumers in the world,Happy, Page: 202,Aquino III
BIR misses May collection target,Happy, Page: 202,Aquino III
PH investor sentiment slips but still highest in Asia,Angry, Page: 202,Aquino III
Peace deal sends ARMM investments to all-time high,Happy, Page: 202,Aquino III
'South China Sea trade routes safe despite rows',Annoyed, Page: 202,Aquino III
Consumer confidence edges higher to -17.3% in the 2nd quarter,Happy, Page: 202,Aquino III
World Bank Group endorses new partnership strategy for PH,Happy, Page: 202,Aquino III
World Bank growth forecasts for PH unchanged,Happy, Page: 202,Aquino III
BIR shames cities for low property tax collection,Happy, Page: 202,Aquino III
World Bank sees 'flat' growth for developing countries,Angry, Page: 203,Aquino III
Unemployment rate drops to 7% in April,Happy, Page: 203,Aquino III
Exports barely grow in April,Sad, Page: 203,Aquino III
BSP expected to hike rates,Afraid, Page: 203,Aquino III
Inflation hits 2-1/2 year high in May,Afraid, Page: 203,Aquino III
Kickstarting the PH economy,Happy, Page: 203,Aquino III
"EU, PH partnership to develop MSMEs",Happy, Page: 203,Aquino III
PH posts P81-B budget surplus in April,Happy, Page: 203,Aquino III
SC stops BIR from requiring doctors to disclose fees,Happy, Page: 203,Aquino III
Clark Green City up for bidding in Q3,Happy, Page: 203,Aquino III
"Post-WEF, PH, Malaysian firms identify specific growth areas",Happy, Page: 204,Aquino III
Fil-Ams urged to invest in the Philippines,Happy, Page: 204,Aquino III
"After peace deal, ARMM investments soar",Happy, Page: 204,Aquino III
Philippine growth slows to 5.7% in Q1,Afraid, Page: 204,Aquino III
World Bank okays P31-M grant to assess PH natural resources,Happy, Page: 204,Aquino III
Imports up 9.6% in March despite electronics decline,Happy, Page: 204,Aquino III
Customs misses April revenue goal,Sad, Page: 204,Aquino III
IMF: Income inequality hurts the economy,Happy, Page: 204,Aquino III
"Better 'branding' needed for ASEAN, says AirAsia CEO",Inspired, Page: 204,Aquino III
How to sustain PH growth? Hard reforms needed,Inspired, Page: 204,Aquino III
PH slips in IMD World Competitiveness Ranking,Sad, Page: 205,Aquino III
WEF: Competitiveness rankings of East Asian nations,Happy, Page: 205,Aquino III
PH 'well situated' to take advantage of ASEAN integration,Inspired, Page: 205,Aquino III
PH economy to double in next decade: think-tank,Happy, Page: 205,Aquino III
WEF in Manila to showcase PH economy – Palace,Happy, Page: 205,Aquino III
BIR continues to miss target in April,Sad, Page: 205,Aquino III
Tax exemption for small businessmen pushed in Senate,Happy, Page: 205,Aquino III
OFW remittances up 6.9% in March,Inspired, Page: 205,Aquino III
FAST FACTS: The World Economic Forum,Happy, Page: 205,Aquino III
India stocks surge as Modi seen closing in on power,Don't Care, Page: 205,Aquino III
NEDA: Poverty likely worsened in 2013 due to Yolanda,Sad, Page: 206,Aquino III
Aquino: Connectivity to boost trade in east ASEAN,Happy, Page: 206,Aquino III
"'ASEAN integration an opportunity, not a threat to PH SMEs'",Inspired, Page: 206,Aquino III
Southeast Asia palm oil problems could hit consumers worldwide,Afraid, Page: 206,Aquino III
A dose of Abenomics for Asia's development institutions: Starting with the ADB,Happy, Page: 206,Aquino III
Exports sustain double-digit growth in March,Happy, Page: 206,Aquino III
BSP hikes reserve requirement for banks,Happy, Page: 206,Aquino III
S&P raises PH credit rating anew,Happy, Page: 206,Aquino III
Yellen: US economy looking healthy after winter freeze,Happy, Page: 206,Aquino III
Taxes of some Makati accountants 'ridiculously low',Amused, Page: 206,Aquino III
47 countries move on tax evasion by agreeing to share bank data,Inspired, Page: 207,Aquino III
Inflation picks up in April,Inspired, Page: 207,Aquino III
Debt-to-GDP ratio continues downtrend: 39.2% in 2013,Happy, Page: 207,Aquino III
"Transportation, communication post fastest growth in Q4 2013",Happy, Page: 207,Aquino III
Dollar lower vs major currencies after weak Q1 US growth,People are divided, Page: 207,Aquino III
IMF: Russia is in recession,Happy, Page: 207,Aquino III
Q1 deficit 'well within' target,Happy, Page: 207,Aquino III
PH poverty incidence on downward trend – NEDA,Happy, Page: 207,Aquino III
US removes Philippines from copyright watch list,Happy, Page: 207,Aquino III
Aquino presses for PH inclusion in Pacific trade deal,Happy, Page: 207,Aquino III
Customs Q1 collections fall short of goal,Sad, Page: 208,Aquino III
"Gov’t not doing enough to curb inflation, poverty – Pulse survey",Angry, Page: 208,Aquino III
PH imports maintain growth in February,People are divided, Page: 208,Aquino III
Ex-UP statistics dean is new National Statistician,Happy, Page: 208,Aquino III
Flower shops in latest BIR shame campaign ad,Angry, Page: 208,Aquino III
ADB pushes for regional disaster fund,Happy, Page: 208,Aquino III
BSP keeps 2014-2016 inflation target,Happy, Page: 208,Aquino III
BIR hits Makati lawyers in latest tax ad,Amused, Page: 208,Aquino III
Missed the tax filing deadline? Here are the penalties,Angry, Page: 208,Aquino III
China's economy grows 7.4% in Q1: govt,Amused, Page: 208,Aquino III
Who are exempted from filing income tax returns?,Happy, Page: 209,Aquino III
Remittances hit $2B in February,Happy, Page: 209,Aquino III
BIR misses March collection target,Sad, Page: 209,Aquino III
PH unveils updated plan to fight persistent poverty,Happy, Page: 209,Aquino III
China Q1 growth slows to 7.3% – survey,Happy, Page: 209,Aquino III
Gov't reduces deficit to P9.7B in Feb,Happy, Page: 209,Aquino III
Palace: BIR chief not a spoilsport in Pacquiao win,Happy, Page: 209,Aquino III
Singapore says economy slowed sharply in Q1,Sad, Page: 209,Aquino III
Palace: Late tax filers face penalties,Angry, Page: 209,Aquino III
PH businesses approach Myanmar with caution,Inspired, Page: 209,Aquino III
World finance chiefs fall short on growth plan,Annoyed, Page: 210,Aquino III
Moody's downgrades Turkey outlook to 'negative',Happy, Page: 210,Aquino III
"Top taxpayers: Why only few from oil, gas, steel industries?",Angry, Page: 210,Aquino III
Feb export growth at 3-year high,Happy, Page: 210,Aquino III
"IMF cuts world growth forecasts for 2014, 2015",Sad, Page: 210,Aquino III
World Bank keeps East Asia growth forecast at 7.1%,Amused, Page: 210,Aquino III
Highest-paying jobs for fresh grads,Sad, Page: 210,Aquino III
'Vigilant' ASEAN braces for more Fed tapering,Inspired, Page: 210,Aquino III
PH jumps 8 notches in WEF global trade index,Inspired, Page: 210,Aquino III
"ADB: PH to grow below 2014, 2015 targets",Sad, Page: 210,Aquino III
Japan factory output fall underscores uneven recovery,Sad, Page: 211,Aquino III
Bizmen on Mindanao's dev't: We must do our part,Happy, Page: 211,Aquino III
Self-employed: How to register with BIR,Happy, Page: 211,Aquino III
BIR sues head of doctors' association for tax evasion,Happy, Page: 211,Aquino III
Deficit nearly doubles in Jan on Yolanda spending,Happy, Page: 211,Aquino III
Disasters cause $140B losses globally in 2013,Sad, Page: 211,Aquino III
Gov't losses from tax breaks: P144B or 1.5% of GDP,Amused, Page: 211,Aquino III
PH among 10 'new emerging countries',Happy, Page: 211,Aquino III
PH imports recover in January: 21.8% growth,Happy, Page: 211,Aquino III
"Fitch affirms US rating at 'AAA', hikes outlook",Happy, Page: 211,Aquino III
Customs misses collection target in January,Angry, Page: 212,Aquino III
Yellen confounds in first policy announcement,Amused, Page: 212,Aquino III
Tax calculator: Compute your income tax,Angry, Page: 212,Aquino III
"Fed cuts stimulus, says weather hurt US growth",Sad, Page: 212,Aquino III
"Fed lowers US growth projections for 2014, 2015",Sad, Page: 212,Aquino III
Room to keep BSP rates steady 'narrowed',Afraid, Page: 212,Aquino III
Millions to remain in poverty as gov't revises target,Sad, Page: 212,Aquino III
'PH growth depends on speed of Haiyan rehab',Amused, Page: 212,Aquino III
Remittance growth eases in January,Happy, Page: 212,Aquino III
BIR misses January tax collection target,Sad, Page: 212,Aquino III
ADB extends $20-M grant for Yolanda-hit communities,Happy, Page: 213,Aquino III
The taxes we pay,Angry, Page: 213,Aquino III
'US stimulus still needed',Sad, Page: 213,Aquino III
BIR launches new ad vs doctors,Amused, Page: 213,Aquino III
More Filipinos jobless despite high growth,Sad, Page: 213,Aquino III
Exports grow for 8th straight month in January,Amused, Page: 213,Aquino III
Why do we pay taxes?,Angry, Page: 213,Aquino III
PH ports miss February revenue targets by P4B,Annoyed, Page: 213,Aquino III
Aquino gov't trims deficit to P164B in 2013,Happy, Page: 213,Aquino III
Inflation eases slightly in February,People are divided, Page: 213,Aquino III
The cost of traffic in Metro Manila,Sad, Page: 214,Aquino III
"US foresees steady growth, falling deficit",People are divided, Page: 214,Aquino III
Fix traffic or PH can lose P6B daily by 2030 – JICA,Sad, Page: 214,Aquino III
UN report sees $1.45T global warming cost – media,Afraid, Page: 214,Aquino III
Manila truck ban may affect PH exports,Angry, Page: 214,Aquino III
Dec imports post flat growth on electronics decline,People are divided, Page: 214,Aquino III
Customs revenue down on first day of truck ban,Angry, Page: 214,Aquino III
G20 aims to lift world GDP by 'over 2%',Inspired, Page: 214,Aquino III
OECD delivers new global standard to target tax cheats,Afraid, Page: 214,Aquino III
WEF to showcase Philippines' growth story,Happy, Page: 214,Aquino III
DOF opposes plan to raise 13th month pay tax exemption cap,Angry, Page: 215,Aquino III
"Mariposa, Anito, Sogo: Which motel paid the most taxes in 2012?",Amused, Page: 215,Aquino III
"BIR misses 2013 revenue target, overshoots Dec goal",Afraid, Page: 215,Aquino III
Yellen set for baptism of fire at year's first G20,People are divided, Page: 215,Aquino III
Aquino: Yolanda rehab is top priority,Sad, Page: 215,Aquino III
Congress to raise 13th month pay tax exemption cap,Happy, Page: 215,Aquino III
"PH good on economy, lags on poverty, jobs",Sad, Page: 215,Aquino III
"Yolanda, holidays fuel December remittances",Happy, Page: 215,Aquino III
An odd coalition to fight joblessness,Inspired, Page: 215,Aquino III
Japan economy logs best growth in 3 years,Happy, Page: 215,Aquino III
Expect more sluggish growth in eurozone: analysts,Afraid, Page: 216,Aquino III
Aquino gov't boosts infra spending for inclusive growth,Happy, Page: 216,Aquino III
"Oil markets tight, IEA warns",Happy, Page: 216,Aquino III
Congress extends US borrowing authority until 2015,Happy, Page: 216,Aquino III
"Dec exports up nearly 16%, electronics sales surge",Happy, Page: 216,Aquino III
"As PH posts strong growth, foreign investments surge in Jan-Nov",Happy, Page: 216,Aquino III
Aquino: Registered OFWs nearly tripled to 6.3M from 2011,Sad, Page: 216,Aquino III
Customs misses 2013 revenue target,Sad, Page: 216,Aquino III
BSP keeps interest rates steady despite inflation rise,Happy, Page: 216,Aquino III
Indonesian economic growth slows to 5.78% in 2013: govt,Amused, Page: 216,Aquino III
'Time is short' for Congress to raise debt limit: Lew,People are divided, Page: 217,Aquino III
"PH grows 7.2% in 2013, above gov't target",Happy, Page: 217,Aquino III
Fed cuts US economic stimulus again,Happy, Page: 217,Aquino III
"Gov't: PH grew 6.9% in Q3, not 7%",Afraid, Page: 217,Aquino III
IMF says no panic in emerging markets,Afraid, Page: 217,Aquino III
Euro nations 'worried' by emerging markets,Annoyed, Page: 217,Aquino III
Japan trade deficit hits record high in 2013,Sad, Page: 217,Aquino III
9 giant firms lead Yolanda rehab,Happy, Page: 217,Aquino III
PH to grow above 6% until 2015 –UN report,Happy, Page: 217,Aquino III
Higher gov't interest payments due to weak peso,Afraid, Page: 217,Aquino III
